Date,open,high,low,close,adj_close,volume
2002-07-01,252.475006,252.500000,251.000000,252.050003,116.950943,4060
2002-07-02,252.500000,252.500000,246.000000,247.024994,114.619339,4572
2002-07-03,245.000000,255.000000,245.000000,250.149994,116.069313,7324
2002-07-04,250.000000,265.500000,248.524994,264.125000,126.602570,8506
2002-07-05,266.000000,270.000000,260.750000,268.524994,128.711609,12342
2002-07-08,290.000000,300.500000,272.500000,286.850006,137.495331,39958
2002-07-09,287.524994,290.500000,275.000000,281.000000,134.691208,12754
2002-07-10,287.250000,287.250000,272.500000,274.750000,131.695419,4192
2002-07-11,273.500000,273.500000,265.625000,269.375000,129.119034,13484
2002-07-12,270.000000,273.049988,268.500000,271.350006,130.065765,5868
2002-07-15,266.774994,269.475006,253.524994,256.875000,123.127472,17766
2002-07-16,255.000000,259.250000,250.500000,252.100006,120.838638,4346
2002-07-17,251.725006,257.500000,250.024994,255.850006,122.636131,5692
2002-07-18,259.975006,262.500000,252.500000,254.500000,121.989037,2562
2002-07-19,256.000000,256.225006,251.500000,252.600006,121.078323,1804
2002-07-22,244.500000,252.000000,244.500000,248.600006,119.161018,3276
2002-07-23,247.500000,269.000000,243.000000,266.799988,127.884758,18288
2002-07-24,272.000000,272.000000,245.000000,249.100006,119.400696,10538
2002-07-25,249.000000,252.500000,242.550003,245.850006,117.842834,9092
2002-07-26,245.000000,246.000000,235.000000,238.074997,114.116066,5804
2002-07-29,238.500000,238.500000,220.725006,229.475006,109.993858,11558
2002-07-30,247.475006,247.475006,221.500000,224.850006,107.776932,6840
2002-07-31,221.550003,230.000000,212.500000,225.649994,108.160431,2122
2002-08-01,231.500000,231.500000,218.500000,219.350006,105.140640,3548
2002-08-02,219.975006,222.350006,214.000000,217.199997,104.110062,3814
2002-08-05,222.000000,224.925003,219.500000,221.649994,106.243073,10202
2002-08-06,223.975006,229.000000,223.125000,224.449997,107.585243,2934
2002-08-07,233.500000,237.000000,229.625000,232.074997,111.240059,3268
2002-08-08,215.000000,228.225006,215.000000,222.050003,106.434845,4670
2002-08-09,225.000000,225.000000,222.500000,223.574997,107.165810,1392
2002-08-12,226.000000,228.475006,220.050003,223.750000,107.249710,1254
2002-08-13,233.475006,233.475006,225.149994,225.949997,108.304245,1222
2002-08-14,225.199997,226.925003,223.000000,224.574997,107.645142,1614
2002-08-15,null,null,null,null,null,null
2002-08-16,227.000000,227.500000,221.574997,224.100006,107.417458,900
2002-08-19,225.600006,228.925003,225.000000,227.024994,108.819496,562
2002-08-20,229.350006,229.949997,225.000000,226.375000,108.507935,3022
2002-08-21,229.975006,229.975006,225.699997,226.949997,108.783531,608
2002-08-22,228.000000,229.649994,227.550003,228.649994,109.598381,614
2002-08-23,227.500000,230.024994,227.500000,229.975006,110.233498,680
2002-08-26,230.000000,237.500000,226.125000,234.399994,112.354530,2110
2002-08-27,234.975006,235.949997,230.850006,232.074997,111.240059,1334
