Date,open,high,low,close,adj_close,volume
2017-09-08,null,null,null,null,null,null
2017-09-11,null,null,null,null,null,null
2017-09-12,null,null,null,null,null,null
2017-09-13,null,null,null,null,null,null
2017-09-14,null,null,null,null,null,null
2017-09-15,null,null,null,null,null,null
2017-09-18,null,null,null,null,null,null
2017-09-19,null,null,null,null,null,null
2017-09-20,null,null,null,null,null,null
2017-09-21,null,null,null,null,null,null
2017-09-22,null,null,null,null,null,null
2017-09-25,null,null,null,null,null,null
2017-09-26,null,null,null,null,null,null
2017-09-27,null,null,null,null,null,null
2017-09-28,null,null,null,null,null,null
2017-09-29,null,null,null,null,null,null
2017-10-03,null,null,null,null,null,null
2017-10-04,null,null,null,null,null,null
2017-10-05,null,null,null,null,null,null
2017-10-06,null,null,null,null,null,null
2017-10-09,null,null,null,null,null,null
2017-10-10,null,null,null,null,null,null
2017-10-11,null,null,null,null,null,null
2017-10-12,null,null,null,null,null,null
2017-10-13,null,null,null,null,null,null
2017-10-16,null,null,null,null,null,null
2017-10-17,null,null,null,null,null,null
2017-10-18,null,null,null,null,null,null
2017-10-19,null,null,null,null,null,null
2017-10-23,null,null,null,null,null,null
2017-10-24,null,null,null,null,null,null
2017-10-25,null,null,null,null,null,null
2017-10-26,null,null,null,null,null,null
2017-10-27,null,null,null,null,null,null
2017-10-30,null,null,null,null,null,null
2017-10-31,null,null,null,null,null,null
2017-11-01,null,null,null,null,null,null
2017-11-02,null,null,null,null,null,null
2017-11-03,null,null,null,null,null,null
2017-11-06,null,null,null,null,null,null
2017-11-07,null,null,null,null,null,null
2017-11-08,null,null,null,null,null,null
2017-11-09,null,null,null,null,null,null
2017-11-10,null,null,null,null,null,null
2017-11-13,null,null,null,null,null,null
2017-11-14,null,null,null,null,null,null
2017-11-15,null,null,null,null,null,null
2017-11-16,null,null,null,null,null,null
2017-11-17,null,null,null,null,null,null
2017-11-20,null,null,null,null,null,null
2017-11-21,null,null,null,null,null,null
2017-11-22,null,null,null,null,null,null
2017-11-23,null,null,null,null,null,null
2017-11-24,null,null,null,null,null,null
2017-11-27,null,null,null,null,null,null
2017-11-28,null,null,null,null,null,null
2017-11-29,null,null,null,null,null,null
2017-11-30,null,null,null,null,null,null
2017-12-01,null,null,null,null,null,null
2017-12-04,null,null,null,null,null,null
2017-12-05,null,null,null,null,null,null
2017-12-06,null,null,null,null,null,null
2017-12-07,null,null,null,null,null,null
2017-12-08,null,null,null,null,null,null
2017-12-11,null,null,null,null,null,null
2017-12-12,null,null,null,null,null,null
2017-12-13,null,null,null,null,null,null
2017-12-14,null,null,null,null,null,null
2017-12-15,null,null,null,null,null,null
2017-12-18,null,null,null,null,null,null
2017-12-19,null,null,null,null,null,null
2017-12-20,null,null,null,null,null,null
2017-12-21,null,null,null,null,null,null
2017-12-22,null,null,null,null,null,null
2017-12-26,null,null,null,null,null,null
2017-12-27,null,null,null,null,null,null
2017-12-28,null,null,null,null,null,null
2017-12-29,null,null,null,null,null,null
2018-01-01,null,null,null,null,null,null
2018-01-02,null,null,null,null,null,null
2018-01-03,null,null,null,null,null,null
2018-01-04,null,null,null,null,null,null
2018-01-05,null,null,null,null,null,null
2018-01-08,null,null,null,null,null,null
2018-01-09,null,null,null,null,null,null
2018-01-10,null,null,null,null,null,null
2018-01-11,null,null,null,null,null,null
2018-01-12,null,null,null,null,null,null
2018-01-15,null,null,null,null,null,null
2018-01-16,null,null,null,null,null,null
2018-01-17,null,null,null,null,null,null
2018-01-18,null,null,null,null,null,null
2018-01-19,null,null,null,null,null,null
2018-01-22,null,null,null,null,null,null
2018-01-23,null,null,null,null,null,null
2018-01-24,null,null,null,null,null,null
2018-01-25,null,null,null,null,null,null
2018-01-29,null,null,null,null,null,null
2018-01-30,null,null,null,null,null,null
2018-01-31,null,null,null,null,null,null
2018-02-01,null,null,null,null,null,null
2018-02-02,null,null,null,null,null,null
2018-02-05,null,null,null,null,null,null
2018-02-06,null,null,null,null,null,null
2018-02-07,null,null,null,null,null,null
2018-02-08,null,null,null,null,null,null
2018-02-09,null,null,null,null,null,null
2018-02-12,null,null,null,null,null,null
2018-02-14,null,null,null,null,null,null
2018-02-15,null,null,null,null,null,null
2018-02-16,null,null,null,null,null,null
2018-02-19,null,null,null,null,null,null
2018-02-20,null,null,null,null,null,null
2018-02-21,null,null,null,null,null,null
2018-02-22,null,null,null,null,null,null
2018-02-23,null,null,null,null,null,null
2018-02-26,null,null,null,null,null,null
2018-02-27,null,null,null,null,null,null
2018-02-28,null,null,null,null,null,null
2018-03-01,null,null,null,null,null,null
2018-03-05,null,null,null,null,null,null
2018-03-06,null,null,null,null,null,null
2018-03-07,null,null,null,null,null,null
2018-03-08,null,null,null,null,null,null
2018-03-09,null,null,null,null,null,null
2018-03-12,null,null,null,null,null,null
2018-03-13,null,null,null,null,null,null
2018-03-14,null,null,null,null,null,null
2018-03-15,null,null,null,null,null,null
2018-03-16,null,null,null,null,null,null
2018-03-19,null,null,null,null,null,null
2018-03-20,null,null,null,null,null,null
2018-03-21,null,null,null,null,null,null
2018-03-22,null,null,null,null,null,null
2018-03-23,null,null,null,null,null,null
2018-03-26,null,null,null,null,null,null
2018-03-27,null,null,null,null,null,null
2018-03-28,null,null,null,null,null,null
2018-04-02,24.549999,24.549999,24.549999,24.549999,24.549999,0
2018-04-03,null,null,null,null,null,null
2018-04-04,null,null,null,null,null,null
2018-04-05,null,null,null,null,null,null
2018-04-06,null,null,null,null,null,null
2018-04-09,null,null,null,null,null,null
2018-04-10,null,null,null,null,null,null
2018-04-11,null,null,null,null,null,null
2018-04-12,null,null,null,null,null,null
2018-04-13,null,null,null,null,null,null
2018-04-16,null,null,null,null,null,null
2018-04-17,null,null,null,null,null,null
2018-04-18,null,null,null,null,null,null
2018-04-19,null,null,null,null,null,null
2018-04-20,null,null,null,null,null,null
2018-04-23,null,null,null,null,null,null
2018-04-24,null,null,null,null,null,null
2018-04-25,null,null,null,null,null,null
2018-04-26,null,null,null,null,null,null
2018-04-27,null,null,null,null,null,null
2018-04-30,null,null,null,null,null,null
2018-05-02,24.549999,24.549999,24.549999,24.549999,24.549999,0
