Date,open,high,low,close,adj_close,volume
2008-03-13,6.428570,7.067860,5.185710,5.425000,0.253938,273193872
2008-03-14,5.357140,5.421430,4.807140,4.996430,0.233877,71330406
2008-03-17,4.785710,5.557140,4.435710,5.046430,0.236217,185850868
2008-03-18,5.264290,5.464290,5.000000,5.071430,0.237388,34630596
2008-03-19,5.207140,5.339290,4.821430,4.889290,0.228862,16906764
2008-03-24,4.642860,4.964290,4.189290,4.396430,0.205792,13285804
2008-03-25,4.500000,4.642860,4.285710,4.535710,0.212311,13282514
2008-03-26,4.621430,4.750000,4.382140,4.571430,0.213983,8416996
2008-03-27,4.500000,4.564290,4.432140,4.514290,0.211309,3873660
2008-03-28,4.600000,4.903570,4.500000,4.728570,0.221339,13893166
2008-03-31,4.521430,4.785710,4.521430,4.614290,0.215989,4872910
2008-04-01,4.750000,4.750000,4.535710,4.635710,0.216992,2588264
2008-04-02,4.742860,4.817860,4.507140,4.560710,0.213481,2240098
2008-04-03,4.471430,4.692860,4.471430,4.550000,0.212980,2212098
2008-04-04,4.642860,5.264290,4.535710,4.996430,0.233877,67405632
2008-04-07,5.042860,5.060710,4.728570,4.846430,0.226856,18929946
2008-04-08,4.857140,5.128570,4.757140,4.814290,0.225351,12113570
2008-04-09,4.828570,5.078570,4.828570,4.878570,0.228360,7733166
2008-04-10,4.978570,5.032140,4.789290,4.835710,0.226354,4340476
2008-04-11,4.907140,4.989290,4.764290,4.803570,0.224849,2609250
2008-04-15,4.821430,4.875000,4.721430,4.821430,0.225685,2518334
2008-04-16,4.857140,5.064290,4.857140,4.885710,0.228694,5628070
2008-04-17,4.917860,5.092860,4.892860,4.928570,0.230700,7095648
2008-04-21,4.985710,5.139290,4.942860,5.003570,0.234211,3774036
2008-04-22,5.021430,5.335710,4.935710,5.157140,0.241400,16690366
2008-04-23,5.200000,5.242860,5.035710,5.053570,0.236552,2812320
2008-04-24,4.692860,5.385710,4.692860,5.182140,0.242570,14052122
2008-04-25,5.357140,5.492860,5.228570,5.303570,0.248254,11200532
2008-04-28,5.285710,5.357140,5.160710,5.182140,0.242570,2196908
2008-04-29,5.160710,5.250000,5.007140,5.182140,0.242570,1977080
2008-04-30,5.250000,5.335710,5.157140,5.189290,0.242905,2668176
2008-05-02,5.264290,5.282140,5.110710,5.146430,0.240898,2039030
2008-05-05,5.196430,5.228570,5.107140,5.125000,0.239895,1364440
2008-05-06,5.078570,5.171430,4.964290,4.989290,0.233543,1366050
2008-05-07,5.078570,5.078570,4.917860,4.925000,0.230533,1245468
2008-05-08,4.864290,4.907140,4.825000,4.842860,0.226689,972398
2008-05-09,4.864290,4.953570,4.721430,4.771430,0.223345,1326976
2008-05-12,4.778570,4.778570,4.592860,4.675000,0.218831,1375934
2008-05-13,4.710710,4.853570,4.700000,4.735710,0.221673,1018094
2008-05-14,4.700000,4.785710,4.700000,4.753570,0.222509,709380
2008-05-15,4.767860,4.892860,4.714290,4.817860,0.225518,978362
2008-05-16,4.857140,4.921430,4.792860,4.828570,0.226020,1271200
2008-05-20,4.785710,5.042860,4.778570,4.907140,0.229697,2913022
2008-05-21,5.000000,5.207140,4.992860,5.096430,0.238558,4454800
2008-05-22,5.096430,5.139290,4.871430,4.996430,0.233877,1765428
2008-05-23,5.007140,5.060710,4.875000,4.900000,0.229363,1130850
2008-05-26,4.785710,4.928570,4.725000,4.750000,0.222342,1019564
2008-05-27,4.775000,4.867860,4.653570,4.703570,0.220169,950278
2008-05-28,4.685710,4.796430,4.678570,4.707140,0.220336,843906
2008-05-29,4.750000,4.857140,4.657140,4.682140,0.219165,882140
2008-05-30,4.703570,4.782140,4.610710,4.650000,0.217661,1019900
2008-06-02,4.678570,4.732140,4.517860,4.550000,0.212980,893970
2008-06-03,4.517860,4.517860,4.335710,4.485710,0.209971,919044
2008-06-04,4.557140,4.557140,4.382140,4.410710,0.206460,654430
2008-06-05,4.375000,4.407140,4.321430,4.375000,0.204789,635502
2008-06-06,4.428570,4.464290,4.378570,4.400000,0.205959,560826
2008-06-09,3.535710,4.282140,3.535710,4.200000,0.196597,855946
2008-06-10,4.282140,4.282140,4.157140,4.253570,0.199105,640402
2008-06-11,4.157140,4.407140,4.110710,4.321430,0.202281,533162
2008-06-12,4.271430,4.607140,4.221430,4.414290,0.206628,1097824
2008-06-13,4.371430,4.517860,4.371430,4.417860,0.206795,521458
2008-06-16,4.464290,4.571430,4.364290,4.378570,0.204956,620830
2008-06-17,4.396430,4.428570,4.300000,4.360710,0.204120,591262
2008-06-18,4.464290,4.464290,4.367860,4.407140,0.206293,725732
2008-06-19,4.357140,4.392860,4.010710,4.350000,0.203618,531314
2008-06-20,4.392860,4.392860,4.207140,4.228570,0.197934,732144
2008-06-23,4.160710,4.214290,4.071430,4.117860,0.192752,542640
2008-06-24,4.075000,4.175000,4.071430,4.089290,0.191415,550984
2008-06-25,4.000000,4.071430,3.932140,4.003570,0.187402,945490
2008-06-26,4.142860,4.178570,4.053570,4.125000,0.193086,560700
2008-06-27,3.860710,4.071430,3.625000,3.989290,0.186734,734916
2008-06-30,3.953570,3.996430,3.835710,3.914290,0.183223,554876
2008-07-01,4.000000,4.042860,3.785710,3.814290,0.178542,597030
