Date,open,high,low,close,adj_close,volume
2002-07-01,2.110000,2.225000,2.110000,2.210000,0.001266,11270
2002-07-02,2.265000,2.270000,2.200000,2.215000,0.001269,18020
2002-07-03,2.210000,2.210000,2.200000,2.205000,0.001263,43500
2002-07-04,2.250000,2.350000,2.195000,2.345000,0.001343,59440
2002-07-05,2.400000,2.485000,2.310000,2.370000,0.001357,21560
2002-07-08,2.485000,2.490000,2.350000,2.360000,0.001352,41940
2002-07-09,2.470000,2.475000,2.265000,2.285000,0.001309,35000
2002-07-10,2.290000,2.290000,2.150000,2.155000,0.001234,50250
2002-07-11,2.190000,2.200000,2.120000,2.190000,0.001254,9030
2002-07-12,2.025000,2.250000,2.025000,2.240000,0.001283,1530
2002-07-15,2.025000,2.240000,2.025000,2.185000,0.001252,9040
2002-07-16,2.200000,2.200000,2.115000,2.185000,0.001252,13750
2002-07-17,2.200000,2.200000,2.150000,2.155000,0.001234,14000
2002-07-18,2.175000,2.175000,2.175000,2.175000,0.001246,5000
2002-07-19,2.150000,2.200000,2.150000,2.155000,0.001234,8290
2002-07-22,2.175000,2.175000,2.175000,2.175000,0.001246,25920
2002-07-23,2.130000,2.130000,2.125000,2.125000,0.001217,6000
2002-07-24,2.220000,2.220000,2.115000,2.115000,0.001211,15000
2002-07-25,2.050000,2.175000,1.925000,1.980000,0.001134,7000
2002-07-26,2.100000,2.100000,2.035000,2.035000,0.001166,49290
2002-07-29,1.930000,1.990000,1.925000,1.925000,0.001103,48500
2002-07-30,1.975000,1.975000,1.880000,1.915000,0.001097,2250
2002-07-31,2.000000,2.075000,2.000000,2.005000,0.001148,120
2002-08-01,2.025000,2.025000,1.855000,2.000000,0.001146,5100
2002-08-02,1.820000,1.825000,1.800000,1.825000,0.001045,4130
2002-08-05,1.805000,2.000000,1.805000,1.905000,0.001091,4030
2002-08-06,1.830000,1.975000,1.830000,1.975000,0.001131,540
2002-08-07,2.000000,2.050000,2.000000,2.050000,0.001174,7240
2002-08-08,1.950000,2.085000,1.950000,2.015000,0.001154,20750
2002-08-09,2.000000,2.200000,2.000000,2.035000,0.001166,28080
2002-08-12,1.985000,2.020000,1.985000,1.985000,0.066107,11510
2002-08-13,1.815000,2.125000,1.815000,2.100000,0.069937,30
2002-08-14,2.310000,2.310000,1.900000,1.900000,0.063276,11270
2002-08-15,null,null,null,null,null,null
2002-08-16,1.890000,1.890000,1.780000,1.815000,0.060445,2530
2002-08-19,1.710000,1.885000,1.710000,1.885000,0.062777,520
2002-08-20,1.725000,1.895000,1.725000,1.760000,0.058614,1020
2002-08-21,1.620000,1.780000,1.620000,1.775000,0.059113,240
2002-08-22,1.710000,1.735000,1.710000,1.735000,0.057781,1500
2002-08-23,1.610000,1.750000,1.610000,1.750000,0.058281,30
2002-08-26,1.615000,1.750000,1.615000,1.750000,0.058281,510
2002-08-27,1.615000,1.920000,1.615000,1.870000,0.062277,4290
2002-08-28,2.060000,2.060000,1.700000,1.915000,0.063776,6470
2002-08-29,1.780000,1.930000,1.775000,1.775000,0.059113,4060
2002-08-30,1.935000,1.935000,1.765000,1.765000,0.058780,3530
2002-09-02,1.665000,1.665000,1.665000,1.665000,0.055450,10
2002-09-03,1.530000,1.760000,1.530000,1.760000,0.058614,510
2002-09-04,1.750000,1.765000,1.750000,1.765000,0.058780,1000
2002-09-05,1.685000,1.890000,1.650000,1.750000,0.058281,14020
2002-09-06,1.750000,1.750000,1.685000,1.725000,0.057448,15240
2002-09-09,1.700000,1.700000,1.700000,1.700000,0.056615,250
2002-09-10,null,null,null,null,null,null
2002-09-11,1.680000,1.800000,1.680000,1.800000,0.059946,550
2002-09-12,1.700000,1.700000,1.700000,1.700000,0.056615,500
2002-09-13,2.035000,2.035000,1.685000,1.795000,0.059779,2780
2002-09-16,2.120000,2.120000,1.725000,1.755000,0.058447,50
2002-09-17,2.085000,2.085000,1.700000,1.700000,0.056615,13560
2002-09-18,2.010000,2.010000,1.700000,1.700000,0.056615,5670
2002-09-19,2.000000,2.000000,1.670000,1.780000,0.059280,6340
2002-09-20,1.750000,1.845000,1.685000,1.750000,0.058281,8160
2002-09-23,2.000000,2.000000,1.995000,1.995000,0.066440,20
2002-09-24,1.825000,1.830000,1.800000,1.815000,0.060445,21670
2002-09-25,1.835000,1.850000,1.705000,1.845000,0.061444,40
2002-09-26,null,null,null,null,null,null
2002-09-27,1.715000,1.725000,1.710000,1.725000,0.057448,1870
2002-09-30,1.720000,1.995000,1.720000,1.745000,0.058114,3190
2002-10-01,1.735000,1.840000,1.680000,1.840000,0.061278,4840
2002-10-02,null,null,null,null,null,null
2002-10-03,2.200000,2.200000,1.725000,1.850000,0.061611,5280
2002-10-04,2.210000,2.210000,1.780000,1.780000,0.059280,5970
2002-10-07,1.680000,1.890000,1.680000,1.880000,0.062610,1070
2002-10-08,1.940000,1.940000,1.800000,1.800000,0.059946,12410
2002-10-09,1.755000,1.755000,1.700000,1.725000,0.057448,24040
2002-10-10,1.700000,1.700000,1.700000,1.700000,0.056615,750
2002-10-11,1.795000,1.795000,1.795000,1.795000,0.059779,260
2002-10-14,1.670000,1.890000,1.670000,1.715000,0.057115,4030
2002-10-15,null,null,null,null,null,null
2002-10-16,1.735000,1.735000,1.720000,1.720000,0.057282,4840
2002-10-17,1.720000,1.850000,1.720000,1.850000,0.061611,700
2002-10-18,1.800000,1.800000,1.775000,1.785000,0.059446,6500
2002-10-21,1.800000,1.800000,1.760000,1.760000,0.058614,5250
2002-10-22,1.800000,1.800000,1.800000,1.800000,0.059946,550
2002-10-23,1.750000,1.815000,1.750000,1.765000,0.058780,5750
2002-10-24,null,null,null,null,null,null
2002-10-25,1.715000,1.715000,1.700000,1.700000,0.056615,10000
2002-10-28,1.730000,1.730000,1.730000,1.730000,0.057615,1000
2002-10-29,1.840000,1.840000,1.700000,1.700000,0.056615,850
2002-10-30,null,null,null,null,null,null
2002-10-31,1.630000,1.750000,1.625000,1.750000,0.058281,5480
2002-11-01,1.850000,1.850000,1.840000,1.840000,0.061278,3000
2002-11-04,1.700000,1.700000,1.700000,1.700000,0.056615,500
2002-11-05,1.735000,1.735000,1.705000,1.710000,0.056949,3000
2002-11-06,null,null,null,null,null,null
2002-11-07,1.700000,1.835000,1.655000,1.745000,0.058114,4060
2002-11-08,1.710000,1.725000,1.660000,1.660000,0.055283,61830
2002-11-11,1.600000,1.835000,1.600000,1.700000,0.056615,2250
2002-11-12,1.530000,1.795000,1.530000,1.795000,0.059779,6250
